,ma1,ma2,result,Result
163,55,15,0,-100.0
164,55,20,0,-9.058069199999972
165,55,25,0,-100.0
166,55,30,0,-100.0
167,55,35,0,-100.0
168,55,40,0,-100.0
169,55,45,0,-100.0
170,55,50,0,-100.0
171,55,55,0,0.0
172,55,60,0,-27.676056800000044
173,55,65,0,-30.691573400000017
174,55,70,0,-28.12356600000001
175,55,75,0,2.0386354000000937
176,55,80,0,-56.539996
177,55,85,0,-53.22923359999998
178,55,90,0,-65.83036000000003
179,55,95,0,-73.93445060000002
180,60,10,0,-1.917239199999931
181,60,15,0,-100.0
182,60,20,0,-100.0
183,60,25,0,-100.0
184,60,30,0,-100.0
185,60,35,0,-100.0
186,60,40,0,-100.0
187,60,45,0,-100.0
188,60,50,0,-100.0
189,60,55,0,-100.0
190,60,60,0,0.0
191,60,65,0,-34.276817599999866
192,60,70,0,-31.82331839999999
193,60,75,0,-16.646386600000042
194,60,80,0,-40.923921599999986
195,60,85,0,-66.2335648
196,60,90,0,-59.507329399999996
197,60,95,0,-61.9204202
198,65,10,0,-13.384597600000014
199,65,15,0,-22.227527200000022
200,65,20,0,-100.0
201,65,25,0,-100.0
202,65,30,0,-100.0
203,65,35,0,-100.0
204,65,40,0,-100.0
205,65,45,0,-100.0
206,65,50,0,-100.0
207,65,55,0,-100.0
208,65,60,0,-100.0
209,65,65,0,0.0
210,65,70,0,-36.27767039999995
211,65,75,0,-8.378489800000025
212,65,80,0,-6.229733399999986
213,65,85,0,-65.3368504
214,65,90,0,-56.97120720000001
215,65,95,0,-53.62706020000001
216,70,10,0,-35.3066206
217,70,15,0,-100.0
218,70,20,0,-100.0
219,70,25,0,-100.0
220,70,30,0,-100.0
221,70,35,0,-100.0
222,70,40,0,-100.0
223,70,45,0,-100.0
224,70,50,0,-100.0
225,70,55,0,-100.0
226,70,60,0,-100.0
227,70,65,0,-100.0
228,70,70,0,0.0
229,70,75,0,-31.398979399999916
230,70,80,0,-10.320835000000098
231,70,85,0,24.57926259999991
232,70,90,0,-51.81697800000003
233,70,95,0,-55.4349904
234,75,10,0,-100.0
235,75,15,0,-100.0
236,75,20,0,-100.0
237,75,25,0,-100.0
238,75,30,0,-100.0
239,75,35,0,-100.0
240,75,40,0,-100.0
241,75,45,0,-100.0
242,75,50,0,-100.0
243,75,55,0,-100.0
244,75,60,0,-100.0
245,75,65,0,-100.0
246,75,70,0,-100.0
247,75,75,0,0.0
248,75,80,0,-19.809061000000074
249,75,85,0,-13.178981200000017
250,75,90,0,-27.0709594
251,75,95,0,-23.824798
252,80,10,0,4.0193902000000525
253,80,15,0,-100.0
254,80,20,0,-100.0
255,80,25,0,-100.0
256,80,30,0,-100.0
257,80,35,0,-100.0
258,80,40,0,-100.0
259,80,45,0,-100.0
260,80,50,0,-100.0
261,80,55,0,-100.0
262,80,60,0,-100.0
263,80,65,0,-100.0
264,80,70,0,-100.0
265,80,75,0,-100.0
266,80,80,0,0.0
267,80,85,0,-12.913496400000094
268,80,90,0,19.141349999999964
269,80,95,0,-24.833946400000002
270,85,10,0,-8.775231599999989
271,85,15,0,0.9816656000000148
272,85,20,0,-100.0
273,85,25,0,-100.0
274,85,30,0,-100.0
275,85,35,0,-100.0
276,85,40,0,-100.0
277,85,45,0,-100.0
278,85,50,0,-100.0
279,85,55,0,-100.0
280,85,60,0,-100.0
281,85,65,0,-100.0
282,85,70,0,-100.0
283,85,75,0,-100.0
284,85,80,0,-100.0
285,85,85,0,0.0
286,85,90,0,-34.53671879999999
287,85,95,0,-5.405992200000037
288,90,10,0,-20.055592000000015
289,90,15,0,-100.0
290,90,20,0,-100.0
291,90,25,0,-100.0
292,90,30,0,-100.0
293,90,35,0,-100.0
294,90,40,0,-100.0
295,90,45,0,-100.0
296,90,50,0,-100.0
297,90,55,0,-100.0
298,90,60,0,-100.0
299,90,65,0,-100.0
300,90,70,0,11.575102000000006
301,90,75,0,-8.351491399999995
302,90,80,0,-100.0
303,90,85,0,-51.2442414
304,90,90,0,0.0
305,90,95,0,-12.117863199999974
306,95,10,0,-100.0
307,95,15,0,-100.0
308,95,20,0,-100.0
309,95,25,0,-100.0
310,95,30,0,-100.0
311,95,35,0,-100.0
312,95,40,0,-100.0
313,95,45,0,-100.0
314,95,50,0,-100.0
315,95,55,0,-100.0
316,95,60,0,-100.0
317,95,65,0,12.099032800000005
318,95,70,0,16.3302282
319,95,75,0,-16.046752400000024
320,95,80,0,-13.540972800000016
321,95,85,0,-51.359341400000005
322,95,90,0,-47.296488800000006
323,95,95,0,0.0
